isbn,feature
034038784X,"[-0.84113413 -0.2196228   0.3173302  ... -0.53153276 -0.44879067
  0.4349516 ]"
0517585839,"[-0.8812784  -0.250057   -0.55057496 ... -0.04603468 -0.4035997
  0.5536485 ]"
0517336294,"[-0.91655445 -0.39299837 -0.7402929  ... -0.58622515 -0.5021411
  0.5205937 ]"
0785273700,"[-0.9304503  -0.41443452 -0.68804246 ... -0.46022546 -0.44268882
  0.5184075 ]"
0006148891,"[-0.80387807 -0.16793585  0.57222754 ... -0.5258696  -0.4621476
  0.4933698 ]"
0373835647,"[-0.86632526 -0.1907925   0.27827686 ... -0.56497514 -0.47539926
  0.52548456]"
0373195982,"[-0.75123394 -0.34166375 -0.436977   ... -0.56497514 -0.47539926
  0.52548456]"
0380708752,"[-0.9459895  -0.51804036 -0.82016337 ... -0.46933448 -0.43552983
  0.48671606]"
0804105324,"[-0.8438024  -0.4132537  -0.6514074  ... -0.5198706  -0.46459875
  0.5096375 ]"
0515084204,"[-0.7703655  -0.27589747  0.26804647 ... -0.54384834 -0.47100672
  0.5217349 ]"
0373033915,"[-0.8463382  -0.26685864 -0.02467786 ... -0.56497514 -0.47539926
  0.52548456]"
0394177606,"[-0.9067903  -0.38934287 -0.6149075  ... -0.46933448 -0.43552983
  0.48671606]"
0800781554,"[-0.77272224 -0.26195186 -0.12990612 ... -0.5779581  -0.48101023
  0.506118  ]"
0446610992,"[-0.7701633  -0.16231959  0.37053487 ... -0.5893604  -0.49697554
  0.4842223 ]"
0671578197,"[-0.80116755 -0.27632296  0.27466765 ... -0.52866673 -0.43686965
  0.49155256]"
0758204213,"[-0.85773736 -0.3165159   0.09925056 ... -0.5903827  -0.5144573
  0.48394766]"
0553071769,"[-0.9113984  -0.5876403  -0.948735   ... -0.51647323 -0.43499112
  0.49718618]"
0721400841,"[-0.8890319  -0.6534443  -0.9520543  ... -0.5074948  -0.4837458
  0.49601665]"
1580050662,"[-0.8598427  -0.48852682 -0.6728593  ... -0.47133166 -0.46004167
  0.5322307 ]"
0586068872,"[-0.77201885 -0.27856633  0.2902723  ... -0.57678795 -0.48100105
  0.5064497 ]"
3548252834,"[-0.9027035  -0.3183341  -0.08412582 ... -0.5258696  -0.4621476
  0.4933698 ]"
0821741403,"[-0.7941846  -0.2015236   0.45357534 ... -0.56497514 -0.47539926
  0.52548456]"
0140262385,"[-0.87560827 -0.37443286 -0.7456108  ... -0.06591122 -0.38135746
  0.53054136]"
0435124277,"[-0.88519937 -0.5463498  -0.8561807  ... -0.06591122 -0.38135746
  0.53054136]"
0099082209,"[-0.846325   -0.25821888  0.12062779 ... -0.58619136 -0.4969735
  0.5278059 ]"
0140028374,"[-0.9298775  -0.56172645 -0.9512026  ... -0.5320456  -0.47786015
  0.5345127 ]"
0423013602,"[-0.77296644 -0.3704476   0.02166404 ... -0.5258696  -0.4621476
  0.4933698 ]"
0516013513,"[-0.84709334 -0.35421816 -0.73064655 ... -0.04603468 -0.4035997
  0.5536485 ]"
0747237026,"[-0.705082   -0.07622499  0.4510097  ... -0.54384834 -0.47100672
  0.5217349 ]"
0786883510,"[-0.8496252  -0.49998674 -0.920619   ... -0.04603468 -0.4035997
  0.5536485 ]"
0413544702,"[-0.80323803 -0.29797488 -0.38139382 ... -0.4027456  -0.43505603
  0.5190861 ]"
0670855049,"[-0.829531   -0.21528117  0.70692164 ... -0.5432278  -0.4462272
  0.4748135 ]"
0671653962,"[-0.79656595 -0.48201594 -0.680863   ... -0.5789285  -0.4854476
  0.53004473]"
0312286910,"[-0.7789136  -0.20700574  0.44207382 ... -0.5258696  -0.4621476
  0.4933698 ]"
067179938X,"[-0.69589007 -0.18169501  0.5719137  ... -0.57181764 -0.45565084
  0.49867436]"
0752848216,"[-0.7290493  -0.13386543  0.5069591  ... -0.5360456  -0.46403673
  0.4752013 ]"
038078999X,"[-0.87683    -0.44789967 -0.42520288 ... -0.54904497 -0.44945738
  0.49237296]"
055325183X,"[-0.8228876  -0.28554827  0.30862644 ... -0.5615101  -0.4743888
  0.5031157 ]"
0060186275,"[-0.6121416  -0.14113468  0.41785514 ... -0.5367634  -0.45737973
  0.4885601 ]"
0060193255,"[-0.83672225 -0.17364797  0.4138225  ... -0.46933448 -0.43552983
  0.48671606]"
0340666137,"[-0.68826926 -0.16982229  0.7688767  ... -0.56497514 -0.47539926
  0.52548456]"
034540954X,"[-0.5100227  -0.17640129  0.21714108 ... -0.55839366 -0.46720186
  0.49634156]"
0385509308,"[-0.8932656  -0.4811733  -0.9243121  ... -0.4027456  -0.43505603
  0.5190861 ]"
1886411999,"[-0.8483538  -0.37537917 -0.6712512  ... -0.47096467 -0.44854826
  0.5261583 ]"
0596005830,"[-0.78771836 -0.35347444 -0.48947895 ... -0.47096467 -0.44854826
  0.5261583 ]"
0316639982,"[-0.82107276 -0.15267247  0.11701953 ... -0.06591122 -0.38135746
  0.53054136]"
0596004788,"[-0.86618507 -0.4186828  -0.6265784  ... -0.47096467 -0.44854826
  0.5261583 ]"
1593270348,"[-0.8503666  -0.369981   -0.6275821  ... -0.47096467 -0.44854826
  0.5261583 ]"
0764508075,"[-0.8347121  -0.38771263 -0.6724797  ... -0.54427916 -0.44617683
  0.507497  ]"
0930031741,"[-0.85875314 -0.29994717 -0.15021066 ... -0.49740317 -0.44220492
  0.5349264 ]"
0486209741,"[-0.8578814  -0.46059075 -0.95615536 ... -0.3916287  -0.42018545
  0.52160627]"
0812570030,"[-0.82368207 -0.43234232 -0.85109764 ... -0.5443953  -0.4846659
  0.4853188 ]"
0531201759,"[-0.7066876  -0.214858    0.53598106 ... -0.04603468 -0.4035997
  0.5536485 ]"
0439560438,"[-0.8417667  -0.39903584 -0.40064782 ... -0.4027456  -0.43505603
  0.5190861 ]"
0439420806,"[-0.8520773  -0.38145414  0.23652238 ... -0.4027456  -0.43505603
  0.5190861 ]"
0575074434,"[-0.81252635 -0.07311695  0.38855708 ... -0.5789285  -0.4854476
  0.53004473]"
0439420784,"[-0.8754084  -0.34504133 -0.6223681  ... -0.4027456  -0.43505603
  0.5190861 ]"
0439306094,"[-0.81920093 -0.42712855 -0.52879256 ... -0.4027456  -0.43505603
  0.5190861 ]"
0060808918,"[-0.8461975  -0.30458382  0.10146663 ... -0.54384834 -0.47100672
  0.5217349 ]"
043930606X,"[-0.89413166 -0.4359145  -0.49873275 ... -0.4027456  -0.43505603
  0.5190861 ]"
0002240114,"[-0.89268017 -0.45279145 -0.8504386  ... -0.46933448 -0.43552983
  0.48671606]"
0552147710,"[-0.84029675 -0.291939   -0.04497251 ... -0.5768424  -0.47848636
  0.48188362]"
0590108441,"[-0.89198714 -0.43893918 -0.41434675 ... -0.4027456  -0.43505603
  0.5190861 ]"
0590108409,"[-0.87180746 -0.40114805 -0.57239693 ... -0.4027456  -0.43505603
  0.5190861 ]"
0380974827,"[-0.89151627 -0.34950116  0.22761375 ... -0.42104718 -0.45785305
  0.5099566 ]"
0590947311,"[-0.89697117 -0.37978226 -0.58300614 ... -0.24405736 -0.44187877
  0.5185339 ]"
0373242980,"[-0.8281274  -0.4599428  -0.78317577 ... -0.56497514 -0.47539926
  0.52548456]"
0263819299,"[-0.90922433 -0.39475375 -0.5030619  ... -0.56497514 -0.47539926
  0.52548456]"
0140282696,"[-0.8355398  -0.3559617  -0.6271705  ... -0.46933448 -0.43552983
  0.48671606]"
905727048X,"[-0.85704154 -0.5340378  -0.9145342  ... -0.5198706  -0.46459875
  0.5096375 ]"
0340642777,"[-0.85993946 -0.37827283 -0.42939624 ... -0.46022546 -0.44268882
  0.5184075 ]"
0812094123,"[-0.9393762  -0.46301964 -0.7802832  ... -0.04603468 -0.4035997
  0.5536485 ]"
0385422776,"[-0.89973223 -0.48011655 -0.84075767 ... -0.42104718 -0.45785305
  0.5099566 ]"
0060972726,"[-0.84073186 -0.27489746 -0.02351277 ... -0.46933448 -0.43552983
  0.48671606]"
037581017X,"[-0.9006106  -0.43971515 -0.81088287 ... -0.49224815 -0.4872901
  0.48756933]"
0345401956,"[-0.88608074 -0.3173763  -0.41347092 ... -0.5649154  -0.47818217
  0.5126288 ]"
0895262509,"[-0.9140543  -0.351988    0.20199603 ... -0.5640907  -0.46368495
  0.46106485]"
0140441794,"[-0.8263019  -0.27791652  0.34917998 ... -0.46933448 -0.43552983
  0.48671606]"
0786867221,"[-0.8888886  -0.40812942 -0.34400937 ... -0.5054487  -0.45430103
  0.52125025]"
0517626098,"[-0.9159881  -0.45944008 -0.5368141  ... -0.56539994 -0.43715617
  0.4374003 ]"
0340718129,"[-0.79211634 -0.2857586   0.15433118 ... -0.56497514 -0.47539926
  0.52548456]"
0241128110,"[-0.8359972  -0.31650764  0.09296993 ... -0.49680525 -0.42089686
  0.4362986 ]"
0026154609,"[-0.8110177  -0.2375596   0.3435477  ... -0.5054487  -0.45430103
  0.52125025]"
0789446197,"[-0.8611916  -0.30952913 -0.6067047  ... -0.04603468 -0.4035997
  0.5536485 ]"
0878578129,"[-0.8880393  -0.3956563  -0.74842906 ... -0.41409492 -0.39278486
  0.43285424]"
0878579710,"[-0.84429693 -0.5707397  -0.94546443 ... -0.4551339  -0.4195797
  0.5123444 ]"
0911910875,"[-0.87099266 -0.4407348  -0.90746784 ... -0.5075461  -0.42308035
  0.43818948]"
0062716131,"[-0.8784761  -0.350556   -0.67019063 ... -0.04603468 -0.4035997
  0.5536485 ]"
006105531X,"[-0.8726878  -0.41809657 -0.7752442  ... -0.5789285  -0.4854476
  0.53004473]"
0553375393,"[-0.8770447  -0.4627713  -0.8468358  ... -0.04603468 -0.4035997
  0.5536485 ]"
1556617046,"[-0.929319   -0.3608544  -0.3509241  ... -0.512617   -0.44719544
  0.4810125 ]"
0609800698,"[-0.92255634 -0.5511983  -0.96402407 ... -0.4551339  -0.4195797
  0.5123444 ]"
0028631188,"[-0.805778   -0.36778703 -0.6958502  ... -0.04603468 -0.4035997
  0.5536485 ]"
0805072403,"[-0.8882962  -0.4891323  -0.66056216 ... -0.5649154  -0.47818217
  0.5126288 ]"
1580631312,"[-0.8966939  -0.3038324  -0.31204882 ... -0.54177934 -0.46412575
  0.46355906]"
0380818477,"[-0.89553905 -0.4503935  -0.76341426 ... -0.52866673 -0.43686965
  0.49155256]"
0380978989,"[-0.87326014 -0.38003078 -0.6588599  ... -0.52866673 -0.43686965
  0.49155256]"
1852308826,"[-0.9140524  -0.47360975 -0.77688587 ... -0.4997047  -0.40669665
  0.43866524]"
0330256521,"[-0.86601174 -0.26815668  0.22614956 ... -0.54384834 -0.47100672
  0.5217349 ]"
0812574990,"[-0.88180214 -0.43407187 -0.3873658  ... -0.5789285  -0.4854476
  0.53004473]"
0812574737,"[-0.72470987 -0.11331601  0.5556116  ... -0.5789285  -0.4854476
  0.53004473]"
0812534840,"[-0.8656141  -0.40263563 -0.3494019  ... -0.5789285  -0.4854476
  0.53004473]"
0812096762,"[-0.81626177 -0.46037337 -0.95638645 ... -0.04603468 -0.4035997
  0.5536485 ]"
0465086632,"[-0.89131933 -0.54974324 -0.9576969  ... -0.04603468 -0.4035997
  0.5536485 ]"
0694526282,"[-0.8779048  -0.23495543  0.29444423 ... -0.58619136 -0.4969735
  0.5278059 ]"
0743520041,"[-0.90621334 -0.4962798  -0.93702984 ... -0.5500408  -0.4691263
  0.5238743 ]"
0743525868,"[-0.6433195  -0.13126096  0.66585475 ... -0.5500408  -0.4691263
  0.5238743 ]"
0963418386,"[-0.80338484 -0.27132303  0.04989282 ... -0.52574384 -0.43766257
  0.47331983]"
0764543393,"[-0.82238007 -0.43165368 -0.84512824 ... -0.34165424 -0.4330202
  0.5246939 ]"
1556432461,"[-0.8396442  -0.42199194 -0.9327612  ... -0.4551339  -0.4195797
  0.5123444 ]"
0758201842,"[-0.8925173  -0.5142573  -0.90253866 ... -0.04603468 -0.4035997
  0.5536485 ]"
069620505X,"[-0.8031277  -0.39792886 -0.90532583 ... -0.39834562 -0.41827703
  0.494581  ]"
0812908341,"[-0.8991658  -0.37226883  0.2447148  ... -0.39834562 -0.41827703
  0.494581  ]"
0060950978,"[-0.92364967 -0.36923122 -0.62125933 ... -0.47672573 -0.41788077
  0.4618563 ]"
0060586109,"[-0.66486317 -0.23997627  0.32676685 ... -0.5258696  -0.4621476
  0.4933698 ]"
0671867679,"[-0.8808355  -0.43116218 -0.7960099  ... -0.40568334 -0.38126728
  0.46212384]"
0717136175,"[-0.9245178  -0.4438534  -0.79212826 ... -0.04603468 -0.4035997
  0.5536485 ]"
0394504712,"[-0.9459895  -0.51804036 -0.82016337 ... -0.46933448 -0.43552983
  0.48671606]"
0805006117,"[-0.8899031  -0.43119982 -0.8262384  ... -0.46933448 -0.43552983
  0.48671606]"
0804900884,"[-0.9553887  -0.6545497  -0.90844077 ... -0.49204063 -0.46570975
  0.5246827 ]"
0590411284,"[-0.83946323 -0.406458   -0.53590995 ... -0.5074948  -0.4837458
  0.49601665]"
0590437216,"[-0.804103   -0.430592   -0.7319549  ... -0.5074948  -0.4837458
  0.49601665]"
0340201177,"[-0.9121243  -0.38865006 -0.57402223 ... -0.5715631  -0.46387953
  0.49716848]"
0752219553,"[-0.91093725 -0.6929563  -0.98520184 ... -0.24405736 -0.44187877
  0.5185339 ]"
0330029509,"[-0.9127637  -0.49982864 -0.8765788  ... -0.52574384 -0.43766257
  0.47331983]"
0674722329,"[-0.88877076 -0.38789955 -0.86509556 ... -0.04603468 -0.4035997
  0.5536485 ]"
0446670405,"[-0.87861496 -0.38971576 -0.725196   ... -0.43626133 -0.39750865
  0.43518934]"
0060155078,"[-0.869538   -0.39413145 -0.6393449  ... -0.04603468 -0.4035997
  0.5536485 ]"
0913592021,"[-0.8904971  -0.3666299  -0.4957421  ... -0.512617   -0.44719544
  0.4810125 ]"
0752853163,"[-0.83936334 -0.38187882 -0.6424151  ... -0.5615101  -0.4743888
  0.5031157 ]"
0862417929,"[-0.9481799  -0.5056347  -0.9149399  ... -0.46022546 -0.44268882
  0.5184075 ]"
0590415492,"[-0.6986367  -0.1397024   0.33265728 ... -0.5720839  -0.4816805
  0.48697343]"
0590255207,"[-0.72004104 -0.09180599  0.5578877  ... -0.5720839  -0.4816805
  0.48697343]"
156714053X,"[-0.7999687  -0.27975067 -0.4872946  ... -0.5143895  -0.49771494
  0.51843464]"
0192761412,"[-0.8910024  -0.30074206 -0.0092745  ... -0.24405736 -0.44187877
  0.5185339 ]"
0345321014,"[-0.83536    -0.2868534  -0.52829254 ... -0.54384834 -0.47100672
  0.5217349 ]"
0877286027,"[-0.7319079  -0.24189875  0.2788506  ... -0.5528973  -0.45874512
  0.45247653]"
0671218972,"[-0.8493689  -0.4754022  -0.7360544  ... -0.46933448 -0.43552983
  0.48671606]"
0671682911,[-0.9039166 -0.4193866 -0.8544308 ... -0.5500408 -0.4691263  0.5238743]
0140103147,"[-0.91293657 -0.2450645  -0.2334034  ... -0.46933448 -0.43552983
  0.48671606]"
1559724773,"[-0.9105724  -0.57562536 -0.96112424 ... -0.04603468 -0.4035997
  0.5536485 ]"
0140105670,"[-0.86342835 -0.3000084  -0.4767469  ... -0.5602325  -0.47572938
  0.5002704 ]"
0743444787,"[-0.8447943  -0.34072074 -0.475289   ... -0.29242522 -0.3694783
  0.46046117]"
0345456440,"[-0.75773484 -0.41341412 -0.77472    ... -0.5789285  -0.4854476
  0.53004473]"
0671674900,"[-0.8274488  -0.4494545  -0.69702995 ... -0.5500098  -0.4813964
  0.51034397]"
0312269234,"[-0.6425985  -0.18444835  0.33852893 ... -0.5500098  -0.4813964
  0.51034397]"
1401300952,"[-0.83392346 -0.3258251   0.20334034 ... -0.515575   -0.44098553
  0.5009098 ]"
1551665492,"[-0.9281392  -0.26737213 -0.6400942  ... -0.56497514 -0.47539926
  0.52548456]"
0373825129,"[-0.86508614 -0.3339626  -0.65867317 ... -0.56497514 -0.47539926
  0.52548456]"
0373825080,"[-0.8854669  -0.4107682  -0.53873634 ... -0.56497514 -0.47539926
  0.52548456]"
0373825072,"[-0.87808055 -0.28518912  0.02282451 ... -0.56497514 -0.47539926
  0.52548456]"
0373825064,"[-0.8777022  -0.26662928 -0.77855885 ... -0.56497514 -0.47539926
  0.52548456]"
0380796368,"[-0.6869482  -0.13064085  0.7244909  ... -0.56497514 -0.47539926
  0.52548456]"
0060535423,"[-0.68236196 -0.19112264  0.5110287  ... -0.5360456  -0.46403673
  0.4752013 ]"
0373870612,"[-0.87690187 -0.29996973  0.01580264 ... -0.56497514 -0.47539926
  0.52548456]"
0307108899,"[-0.797384   -0.2369713  -0.2374178  ... -0.24405736 -0.44187877
  0.5185339 ]"
0028620283,"[-0.8944268  -0.49457693 -0.7653465  ... -0.40568334 -0.38126728
  0.46212384]"
0804830401,"[-0.8786555  -0.5710948  -0.91489315 ... -0.43626133 -0.39750865
  0.43518934]"
0673522407,"[-0.93035936 -0.66855896 -0.95017296 ... -0.5320456  -0.47786015
  0.5345127 ]"
0673522393,"[-0.9197156  -0.43974623 -0.55260015 ... -0.5320456  -0.47786015
  0.5345127 ]"
0890878145,"[-0.86823183 -0.47982866 -0.7820009  ... -0.41409492 -0.39278486
  0.43285424]"
0373226225,"[-0.6892487  -0.3162979  -0.14983308 ... -0.5770392  -0.48636815
  0.5059441 ]"
0373226500,"[-0.74115247 -0.20804816 -0.5965398  ... -0.56058794 -0.47858295
  0.4998185 ]"
1929001053,"[-0.74598855 -0.11810819  0.18809156 ... -0.4027456  -0.43505603
  0.5190861 ]"
1929001045,"[-0.74189925 -0.30366486 -0.40760103 ... -0.4027456  -0.43505603
  0.5190861 ]"
0373226349,"[-0.8630069  -0.5076171  -0.7985635  ... -0.5770392  -0.48636815
  0.5059441 ]"
0965664120,"[-0.8323912  -0.23172373  0.3584141  ... -0.46933448 -0.43552983
  0.48671606]"
0312850565,"[-0.89577913 -0.39179802 -0.71658343 ... -0.52866673 -0.43686965
  0.49155256]"
0090966309,"[-0.9108942  -0.3202323  -0.5310219  ... -0.46933448 -0.43552983
  0.48671606]"
0373226438,"[-0.7856888  -0.3336838  -0.28784657 ... -0.56058794 -0.47858295
  0.4998185 ]"
0380775476,"[-0.91525024 -0.4202749  -0.83301455 ... -0.54904497 -0.44945738
  0.49237296]"
0553575791,"[-0.8270373  -0.5223799  -0.7880003  ... -0.54384834 -0.47100672
  0.5217349 ]"
0061013765,"[-0.9218604  -0.36093983 -0.8627981  ... -0.5498188  -0.4447777
  0.4589548 ]"
1903650534,"[-0.726017   -0.43881077 -0.81101686 ... -0.4489938  -0.4377583
  0.5339427 ]"
0761110526,"[-0.75523275 -0.24524431 -0.28912815 ... -0.5198706  -0.46459875
  0.5096375 ]"
189583757X,"[-0.80713826 -0.3752226  -0.76620084 ... -0.5004171  -0.46430248
  0.49920797]"
0517035820,"[-0.89345515 -0.4267469  -0.6885548  ... -0.54384834 -0.47100672
  0.5217349 ]"
0449211800,"[-0.8374954  -0.3637995  -0.19261852 ... -0.54384834 -0.47100672
  0.5217349 ]"
0670835684,"[-0.81075454 -0.3944556  -0.65931    ... -0.5649154  -0.47818217
  0.5126288 ]"
0684810794,"[-0.83452344 -0.2319801   0.11345292 ... -0.54327136 -0.4339869
  0.46668124]"
0517277956,"[-0.7721495  -0.34007874 -0.55791336 ... -0.5640907  -0.46368495
  0.46106485]"
0413183904,"[-0.8093319  -0.24223804  0.25990465 ... -0.4027456  -0.43505603
  0.5190861 ]"
0842304215,"[-0.9301991  -0.40785915 -0.5780633  ... -0.512617   -0.44719544
  0.4810125 ]"
0517027488,"[-0.83778644 -0.36522558 -0.6082925  ... -0.512617   -0.44719544
  0.4810125 ]"
0671700316,"[-0.82785493 -0.45977685 -0.9050724  ... -0.4027456  -0.43505603
  0.5190861 ]"
0778320634,"[-0.9029141  -0.31717324 -0.2884838  ... -0.5615101  -0.4743888
  0.5031157 ]"
0373250649,"[-0.89003885 -0.44705635 -0.53836036 ... -0.5615101  -0.4743888
  0.5031157 ]"
006059036X,"[-0.76414466 -0.29056066  0.42374483 ... -0.58571684 -0.4970667
  0.5073235 ]"
0887764983,"[-0.80950785 -0.20187564 -0.7282913  ... -0.24405736 -0.44187877
  0.5185339 ]"
0792458052,"[-0.8907802  -0.53619605 -0.87954694 ... -0.54177934 -0.46412575
  0.46355906]"
0140277161,"[-0.8825614  -0.18810904 -0.06735167 ... -0.47133166 -0.46004167
  0.5322307 ]"
0691049890,"[-0.86766785 -0.26519924  0.09254319 ... -0.57484394 -0.4744248
  0.47908503]"
0671502476,"[-0.90135485 -0.5603526  -0.8877042  ... -0.5285336  -0.4550261
  0.44679257]"
006017000X,"[-0.86137754 -0.5528844  -0.84576315 ... -0.5649154  -0.47818217
  0.5126288 ]"
0684801299,"[-0.9341419  -0.5736368  -0.88477355 ... -0.46933448 -0.43552983
  0.48671606]"
0553346148,"[-0.8454383  -0.4268951  -0.589023   ... -0.57901144 -0.48137826
  0.44887352]"
0380790661,"[-0.8942771  -0.38975888  0.14025983 ... -0.512617   -0.44719544
  0.4810125 ]"
0373057334,"[-0.79498845 -0.27520967 -0.37271032 ... -0.56497514 -0.47539926
  0.52548456]"
0679738762,"[-0.887942   -0.540131   -0.9152064  ... -0.5649154  -0.47818217
  0.5126288 ]"
1560252758,"[-0.8156238  -0.4841497  -0.79081917 ... -0.5649154  -0.47818217
  0.5126288 ]"
0373052308,"[-0.7063601  -0.09956297  0.5969061  ... -0.56497514 -0.47539926
  0.52548456]"
0394747461,"[-0.7814221  -0.19528846  0.4556274  ... -0.56671846 -0.4690712
  0.46486843]"
0684811006,"[-0.9112525  -0.47059146 -0.89355415 ... -0.5198706  -0.46459875
  0.5096375 ]"
037328697X,"[-0.7714032  -0.2612635   0.04892425 ... -0.56497514 -0.47539926
  0.52548456]"
0373264186,"[-0.8625962  -0.34362534  0.03366068 ... -0.54384834 -0.47100672
  0.5217349 ]"
0393035913,"[-0.9052924  -0.5440792  -0.90641326 ... -0.5320456  -0.47786015
  0.5345127 ]"
0393961451,"[-0.8289978  -0.26287052  0.08218794 ... -0.4027456  -0.43505603
  0.5190861 ]"
0060933429,"[-0.8442349  -0.3455517   0.10737441 ... -0.5615101  -0.4743888
  0.5031157 ]"
0020165609,"[-0.89611095 -0.39627782 -0.8794856  ... -0.46933448 -0.43552983
  0.48671606]"
0805055800,"[-0.79404104 -0.20290384  0.3163212  ... -0.54399216 -0.4682805
  0.49234053]"
0684832801,"[-0.9073835  -0.3799058  -0.7061679  ... -0.5591494  -0.45394865
  0.45673108]"
0553345214,"[-0.9097044  -0.44011047 -0.49739277 ... -0.46933448 -0.43552983
  0.48671606]"
0596000197,"[-0.82397264 -0.2833129  -0.5001643  ... -0.47096467 -0.44854826
  0.5261583 ]"
0671782711,"[-0.8659695  -0.29476097 -0.03662831 ... -0.54384834 -0.47100672
  0.5217349 ]"
080249238X,[-0.832977  -0.3242902 -0.6591004 ... -0.5405785 -0.4406012  0.4188274]
0786866179,"[-0.77879864 -0.1881203   0.54954994 ... -0.39834562 -0.41827703
  0.494581  ]"
0679776338,"[-0.8686408  -0.41965052 -0.37475076 ... -0.569208   -0.4640282
  0.4805581 ]"
0806961147,"[-0.894057   -0.44366163 -0.89544445 ... -0.04603468 -0.4035997
  0.5536485 ]"
0321049314,"[-0.88618994 -0.3285157  -0.47949713 ... -0.04603468 -0.4035997
  0.5536485 ]"
0679454330,"[-0.8850136  -0.42358467 -0.8506897  ... -0.51007897 -0.4466075
  0.4649792 ]"
0440925592,"[-0.8408874  -0.18726192  0.47723845 ... -0.56110716 -0.5074415
  0.52520174]"
0553291289,"[-0.8828523  -0.4178717  -0.6445182  ... -0.5789285  -0.4854476
  0.53004473]"
0231041675,"[-7.6480889e-01 -3.0350846e-01  4.0293855e-04 ... -5.7183957e-01
 -4.6693122e-01  4.7341827e-01]"
0517704552,"[-0.90944064 -0.41805995 -0.30945477 ... -0.54399216 -0.4682805
  0.49234053]"
1552782492,"[-0.89708406 -0.26296028 -0.13737191 ... -0.5615101  -0.4743888
  0.5031157 ]"
089608129X,"[-0.8580734  -0.56821835 -0.9081212  ... -0.5649154  -0.47818217
  0.5126288 ]"
1575661195,"[-0.8383439  -0.1563755   0.14597075 ... -0.5799819  -0.49357143
  0.51207554]"
1565122763,"[-0.8475846  -0.36208254 -0.01304092 ... -0.52574384 -0.43766257
  0.47331983]"
0393315118,"[-0.8507688  -0.32714325 -0.6119255  ... -0.57901144 -0.48137826
  0.44887352]"
1559636823,"[-0.845513   -0.38194603 -0.5619604  ... -0.56304896 -0.4539032
  0.44353583]"
015100529X,"[-0.82041156 -0.23813328  0.3412627  ... -0.46933448 -0.43552983
  0.48671606]"
0738203424,"[-0.88736033 -0.42072096 -0.13726573 ... -0.51356006 -0.4481355
  0.48592606]"
0340793708,"[-0.81578493 -0.3035791  -0.01818737 ... -0.53153276 -0.44879067
  0.4349516 ]"
0684862980,"[-0.8647292  -0.52105695 -0.9063119  ... -0.4027456  -0.43505603
  0.5190861 ]"
3431035930,"[-0.80252534 -0.13173117  0.48953092 ... -0.5443953  -0.4846659
  0.4853188 ]"
0803714629,"[-0.8808782  -0.46424967 -0.8618155  ... -0.4027456  -0.43505603
  0.5190861 ]"
0061013463,"[-0.9160114  -0.47117594 -0.91259664 ... -0.54384834 -0.47100672
  0.5217349 ]"
1585421286,"[-0.89631814 -0.51028836 -0.8806704  ... -0.512617   -0.44719544
  0.4810125 ]"
3423119039,"[-0.91748786 -0.52916706 -0.92236197 ... -0.46933448 -0.43552983
  0.48671606]"
0689855591,"[-0.8236248  -0.14959545 -0.15154444 ... -0.4027456  -0.43505603
  0.5190861 ]"
0590442589,"[-0.83767575 -0.49699962 -0.8342898  ... -0.5074948  -0.4837458
  0.49601665]"
0440419476,"[-0.8576287  -0.36680064 -0.72761655 ... -0.5143895  -0.49771494
  0.51843464]"
0575072180,"[-0.84586596 -0.2433037   0.16997795 ... -0.51647323 -0.43499112
  0.49718618]"
0618128735,"[-0.87942094 -0.27285463  0.09164336 ... -0.46933448 -0.43552983
  0.48671606]"
088801273X,"[-0.85817087 -0.44575128 -0.7826956  ... -0.46933448 -0.43552983
  0.48671606]"
0486411230,"[-0.78887695 -0.35660097 -0.50244266 ... -0.04603468 -0.4035997
  0.5536485 ]"
0441004369,"[-0.81896985 -0.28404644 -0.07708545 ... -0.52866673 -0.43686965
  0.49155256]"
0425163776,"[-0.74796915 -0.0771822   0.30066612 ... -0.46933448 -0.43552983
  0.48671606]"
0671702408,"[-0.90241784 -0.5028297  -0.89707786 ... -0.04603468 -0.4035997
  0.5536485 ]"
0451122240,"[-0.8836988  -0.27552733  0.32528222 ... -0.46933448 -0.43552983
  0.48671606]"
0425046087,"[-0.7919943  -0.33450037 -0.6983564  ... -0.46933448 -0.43552983
  0.48671606]"
0451150317,"[-0.91292065 -0.40510923 -0.54191625 ... -0.5631289  -0.44987938
  0.49782574]"
1559700033,"[-0.8806707  -0.42118284 -0.52431947 ... -0.46933448 -0.43552983
  0.48671606]"
0345329252,"[-0.9173814  -0.56245315 -0.93626714 ... -0.46933448 -0.43552983
  0.48671606]"
0553252720,"[-0.83280265 -0.25017366 -0.0662751  ... -0.52574384 -0.43766257
  0.47331983]"
0425167542,"[-0.7064273  -0.1205626   0.748883   ... -0.54384834 -0.47100672
  0.5217349 ]"
1565120019,"[-0.7488711  -0.21443667  0.21138464 ... -0.46933448 -0.43552983
  0.48671606]"
0385313128,"[-0.7939336  -0.14132744  0.566914   ... -0.515575   -0.44098553
  0.5009098 ]"
0425068072,"[-0.91280895 -0.37549356 -0.26181185 ... -0.54384834 -0.47100672
  0.5217349 ]"
067100851X,"[-0.84318733 -0.3341658  -0.77666986 ... -0.4027456  -0.43505603
  0.5190861 ]"
